City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.13,light rain,3.07,172.79,Isles Sunset Lodge
1,Souillac,MU,75.58,broken clouds,-20.52,57.52,Bils' Villa
2,Georgetown,MY,83.89,few clouds,5.41,100.34,Cititel Penang
4,Rikitea,PF,76.1,overcast clouds,-23.12,-134.97,People ThankYou
5,Morondava,MG,75.36,scattered clouds,-20.28,44.28,La Case Bambou
10,Atuona,PF,78.8,few clouds,-9.8,-139.03,Villa Enata
15,Mahebourg,MU,75.49,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
18,Bambous Virieux,MU,75.45,broken clouds,-20.34,57.76,Casa Tia Villa
20,Vilhena,BR,79.02,clear sky,-12.74,-60.15,Hotel Mirage
24,Purna,IN,78.91,broken clouds,19.18,77.05,हनुमान इंजिनिअरींग वर्कशॉप
26,Acarau,BR,84.16,broken clouds,-2.89,-40.12,castelo pizzaria
29,Veraval,IN,85.05,few clouds,20.9,70.37,Lords Inn Somnath
31,Maceio,BR,83.64,few clouds,-9.67,-35.74,Poutur Pousada
34,Samarai,PG,79.74,scattered clouds,-10.62,150.67,Nuli Sapi
47,The Valley,AI,87.66,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
53,Barreirinha,BR,86.31,broken clouds,-2.79,-57.07,Mirante do Poeta - Elpídio Nunes
56,Port-Gentil,GA,78.48,overcast clouds,-0.72,8.78,Fengshui Residence
63,Grand Gaube,MU,75.6,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
69,Peniche,PT,78.62,broken clouds,39.36,-9.38,Hotel Star inn Peniche
70,Jamestown,US,80.29,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
72,Soyo,AO,77.13,broken clouds,-6.13,12.37,Hotel Mpampa
75,Wadena,US,79.12,clear sky,46.44,-95.14,Eastwood Inn of Wadena
76,Guiratinga,BR,86.83,broken clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
78,Dakar,SN,86.88,clear sky,14.69,-17.44,Redface Studios Meublés
88,Honiara,SB,76.86,clear sky,-9.43,159.95,Heritage Park Hotel
90,Palmer,US,76.62,broken clouds,42.16,-72.33,Wedgewood Motel
93,Fuling,CN,75.72,broken clouds,29.7,107.39,Yingbin Hostel
99,Balkanabat,TM,80.71,clear sky,39.51,54.37,Nebitchi Hotel
100,Santa Catarina De Tepehuanes,MX,84.67,scattered clouds,25.35,-105.73,hotel plaza
101,Carutapera,BR,80.01,overcast clouds,-1.2,-46.02,Lidera
