,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.07,172.79,82.13,76,44,9.93,light rain
1,Souillac,MU,-20.52,57.52,75.58,69,75,12.66,broken clouds
2,Georgetown,MY,5.41,100.34,83.89,83,20,3.44,few clouds
3,Leningradskiy,RU,69.38,178.42,34.25,94,97,4.68,overcast clouds
4,Rikitea,PF,-23.12,-134.97,76.1,78,99,12.53,overcast clouds
5,Morondava,MG,-20.28,44.28,75.36,72,25,14.52,scattered clouds
6,Punta Arenas,CL,-53.15,-70.92,42.91,70,40,23.02,scattered clouds
7,Nampula,MZ,-15.12,39.27,66.15,59,0,5.75,clear sky
8,Aykhal,RU,66.0,111.5,44.73,90,100,20.13,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,40.66,81,40,6.91,scattered clouds
10,Atuona,PF,-9.8,-139.03,78.8,71,15,17.47,few clouds
11,New Norfolk,AU,-42.78,147.06,56.66,83,99,2.71,overcast clouds
12,San Isidro,PE,-12.12,-77.05,70.02,84,90,6.91,overcast clouds
13,Hamilton,US,39.18,-84.53,91.58,56,20,1.99,few clouds
14,Maymyo,MM,22.03,96.47,67.82,94,97,0.63,overcast clouds
15,Mahebourg,MU,-20.41,57.7,75.49,69,75,12.66,broken clouds
16,Cidreira,BR,-30.18,-50.21,63.41,54,5,11.03,clear sky
17,Geraldton,AU,-28.77,114.6,54.01,94,3,9.22,clear sky
18,Bambous Virieux,MU,-20.34,57.76,75.45,69,75,12.66,broken clouds
19,Srednekolymsk,RU,67.45,153.68,55.33,45,31,5.41,scattered clouds
20,Vilhena,BR,-12.74,-60.15,79.02,61,0,4.61,clear sky
21,Klaksvik,FO,62.23,-6.59,47.32,73,89,16.78,overcast clouds
22,Pevek,RU,69.7,170.31,33.53,88,31,3.36,scattered clouds
23,Dikson,RU,73.51,80.55,29.62,89,40,4.65,scattered clouds
24,Purna,IN,19.18,77.05,78.91,84,77,17.83,broken clouds
25,Provideniya,RU,64.38,-173.3,38.71,98,100,12.84,overcast clouds
