City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,2021-06-11 11:00:55,55.7435,-97.8558,47.71,88,81,10.49
1,Ilulissat,GL,2021-06-11 11:03:48,69.2167,-51.1,37.42,75,75,4.61
2,Ribeira Grande,PT,2021-06-11 11:03:48,38.5167,-28.7,68.4,94,75,3.44
3,Fairbanks,US,2021-06-11 11:03:48,64.8378,-147.7164,53.24,75,99,1.41
4,Pevek,RU,2021-06-11 11:03:48,69.7008,170.3133,30.79,91,83,11.34
5,Nikolskoye,RU,2021-06-11 11:03:49,59.7035,30.7861,76.89,42,94,2.62
6,Bonavista,CA,2021-06-11 11:03:49,48.6499,-53.1147,39.22,94,100,23.13
7,Longyearbyen,SJ,2021-06-11 11:03:09,78.2186,15.6401,35.44,69,75,6.91
8,Aksarka,RU,2021-06-11 11:03:49,66.5606,67.7975,65.03,45,99,20.45
9,Saldanha,ZA,2021-06-11 11:03:50,-33.0117,17.9442,69.28,46,7,15.14
10,Ust-Ilimsk,RU,2021-06-11 11:03:50,58.0006,102.6619,60.94,28,99,7.09
11,Bredasdorp,ZA,2021-06-11 11:03:50,-34.5322,20.0403,73.27,45,14,4.16
12,Avarua,CK,2021-06-11 11:03:51,-21.2078,-159.775,71.65,78,11,5.75
13,Gizo,SB,2021-06-11 11:03:51,-8.103,156.8419,82.15,79,63,8.55
14,Hobart,AU,2021-06-11 11:03:51,-42.8794,147.3294,55.92,96,75,3.0
15,Faanui,PF,2021-06-11 11:03:52,-16.4833,-151.75,74.5,94,69,5.91
16,Georgetown,MY,2021-06-11 11:03:52,5.4112,100.3354,86.9,72,20,6.91
17,Mataura,NZ,2021-06-11 11:03:52,-46.1927,168.8643,38.39,98,23,2.51
18,Kargasok,RU,2021-06-11 11:03:53,59.0556,80.8572,63.52,32,60,3.2
19,Sitka,US,2021-06-11 11:03:53,57.0531,-135.33,50.05,83,100,4.74
20,Puerto Ayora,EC,2021-06-11 11:03:53,-0.7393,-90.3518,72.55,94,94,3.0
21,Rikitea,PF,2021-06-11 11:03:53,-23.1203,-134.9692,74.01,79,100,17.38
22,Hasaki,JP,2021-06-11 11:03:54,35.7333,140.8333,68.29,72,88,10.78
23,Albany,US,2021-06-11 11:00:11,42.6001,-73.9662,58.64,68,19,1.99
24,Leningradskiy,RU,2021-06-11 11:03:54,69.3833,178.4167,32.18,95,100,5.08
25,Kaitangata,NZ,2021-06-11 11:03:55,-46.2817,169.8464,44.92,84,52,2.51
26,Ushuaia,AR,2021-06-11 11:01:44,-54.8,-68.3,35.02,92,85,4.79
27,Jamestown,US,2021-06-11 10:59:27,42.097,-79.2353,66.33,92,2,1.99
28,Viersen,DE,2021-06-11 11:03:55,51.25,6.3833,80.26,62,20,6.91
29,Saint George,US,2021-06-11 11:03:55,37.1041,-113.5841,61.79,16,1,6.91
30,Busselton,AU,2021-06-11 11:03:56,-33.65,115.3333,58.05,79,84,3.11
31,Gidam,IN,2021-06-11 11:03:56,18.9833,81.4,78.66,85,100,7.94
32,Norman Wells,CA,2021-06-11 11:03:56,65.282,-126.8329,56.43,70,69,6.06
33,Richards Bay,ZA,2021-06-11 11:03:57,-28.783,32.0377,73.22,58,0,6.38
34,Tuktoyaktuk,CA,2021-06-11 11:03:57,69.4541,-133.0374,36.93,84,44,6.69
35,Okhotsk,RU,2021-06-11 11:03:57,59.3833,143.3,48.65,63,98,3.24
36,Beni,CD,2021-06-11 11:03:58,0.5,29.4667,87.8,28,26,3.47
37,Sibolga,ID,2021-06-11 11:03:58,1.7427,98.7792,81.18,78,64,1.77
